1;1;142085802;5363250
1;2;3485572;1673696
1;3;1762048;3896526
1;4;1804774;1187825
1;5;1798636;1725320
1;6;1245922;1058757
1;7;1543799;1092386
1;8;1558799;9414130
1;9;1389505;3763513
1;10;3820628;1163005
2;1;2231933;2581543
2;2;4879593;1200500
2;3;1929599;2499479
2;4;1820844;1513899
2;5;1539119;1019272
2;6;2656329;2632297
2;7;1393170;973566
2;8;1782598;1027915
2;9;2585725;898323
2;10;1278014;864776
4;1;1409717;1056006
4;2;1498910;1296190
4;3;1599265;1166147
4;4;1630711;1215041
4;5;5121927;1437869
4;6;1462142;998996
4;7;1317212;1052348
4;8;1318406;1007007
4;9;1101310;825063
4;10;1097844;1121299
8;1;1055174;1509339
8;2;1276801;1099411
8;3;1654819;1033051
8;4;3305299;1053816
8;5;1231379;2434754
8;6;2013461;1096115
8;7;1202241;989066
8;8;1131403;1315835
8;9;1626868;924682
8;10;1443392;922014
16;1;3933417;1079191
16;2;1346393;1051449
16;3;1281282;2370728
16;4;1300793;889979
16;5;1613148;2848632
16;6;1227685;1982906
16;7;5845253;965838
16;8;1662656;892160
16;9;1314696;3755458
16;10;1210571;878867
32;1;1359483;1059630
32;2;1629387;12167020
32;3;6081469;1121490
32;4;9016343;1364564
32;5;20888427;1313784
32;6;2731033;10237179
32;7;1356474;955775
32;8;3918547;1720362
32;9;2908078;1309308
32;10;1752422;2391407
64;1;3793586;1431426
64;2;4410892;2776867
64;3;2809285;1839575
64;4;1958663;3111558
64;5;1559798;1173491
64;6;1429126;1236064
64;7;1484082;2157946
64;8;3804633;4320510
64;9;7535324;2778501
64;10;2471529;1114845
128;1;2370750;1925818
128;2;4630083;23677829
128;3;10484228;1861601
128;4;2566411;1435793
128;5;2304326;1415951
128;6;27676575;6338146
128;7;5964991;1220404
128;8;8826553;2946692
128;9;4429589;1556451
128;10;3418573;1194520
256;1;4048235;8916097
256;2;4972866;1924116
256;3;9316297;2286119
256;4;3677123;2713892
256;5;3378305;2005472
256;6;6066395;2338058
256;7;3122801;2365353
256;8;6553396;2438034
256;9;5758437;1716442
256;10;3287197;1563953
512;1;4812810;3578469
512;2;4931343;3248114
512;3;4877690;47281620
512;4;6534039;4433650
512;5;5715685;42533540
512;6;4827078;3570662
512;7;5078965;3819038
512;8;4195602;18346567
512;9;3304583;6871840
512;10;3180051;2735915
1024;1;5245040;3555957
1024;2;5424946;4384374
1024;3;5582508;4672747
1024;4;5737787;13578660
1024;5;5653435;15853274
1024;6;14720192;4771242
1024;7;9135919;4741231
1024;8;8433204;67530987
1024;9;6476651;6606996
1024;10;5052673;3513167
2048;1;10471918;5861285
2048;2;9609759;5236967
2048;3;8977743;5527410
2048;4;8631120;5339532
2048;5;9524315;6439068
2048;6;12136603;11762199
2048;7;14407021;6486643
2048;8;14606438;5431235
2048;9;10768506;6707031
2048;10;15142236;8678606
4096;1;19331994;12085814
4096;2;31209693;17192014
4096;3;51374366;21767118
4096;4;38605587;18667640
4096;5;39466447;30515237
4096;6;78332091;23846497
4096;7;30964016;12524802
4096;8;66687709;10882667
4096;9;24186824;12638607
4096;10;38086622;11942247
8192;1;82660041;26734756
8192;2;45263764;15156706
8192;3;35441787;25176312
8192;4;40702833;34870319
8192;5;31661554;21400422
8192;6;35144528;21941920
8192;7;43374509;18286086
8192;8;40865836;28011817
8192;9;111187821;51850721
8192;10;40204121;21535843
16384;1;52271626;26988782
16384;2;64668572;24258062
16384;3;51159902;23278789
16384;4;81090775;25457841
16384;5;52555049;21913964
16384;6;50090823;27721025
16384;7;56739476;34943431
16384;8;69589941;40979520
16384;9;87805381;43554890
16384;10;66597847;43627583
32768;1;107539605;46964386
32768;2;102022625;50966747
32768;3;96092284;50727508
32768;4;94926402;47382358
32768;5;79282804;47794118
32768;6;90561916;53207556
32768;7;90966656;78034580
32768;8;132379634;85773533
32768;9;133776849;67239031
32768;10;91321501;41490500
65536;1;166536998;113255820
65536;2;187227463;108622926
65536;3;179270937;93154772
65536;4;149464832;104007721
65536;5;206497687;150964360
65536;6;303483019;147871336
65536;7;170037182;95255044
65536;8;181444083;86910209
65536;9;155673202;149197115
65536;10;146411613;103538780
