1;1;24934421;25902320
1;2;383186;135835
1;3;388815;171944
1;4;261658;287294
1;5;541442;130981
1;6;425802;143438
1;7;367561;165918
1;8;238254;145792
1;9;243965;217691
1;10;336731;658816
2;1;289646;175765
2;2;421003;176623
2;3;345892;145346
2;4;489619;138904
2;5;309419;140796
2;6;308410;286520
2;7;216484;193411
2;8;219159;96633
2;9;247332;122631
2;10;431088;125055
4;1;294333;167695
4;2;439167;207039
4;3;268256;182673
4;4;261892;141388
4;5;268303;199124
4;6;264199;145953
4;7;260379;153888
4;8;412561;2003742
4;9;377967;458980
4;10;2790144;214418
8;1;294663;163236
8;2;315168;492168
8;3;290068;150173
8;4;361312;197112
8;5;287525;147387
8;6;258293;1290449
8;7;379323;6340342
8;8;264081;190084
8;9;219876;144220
8;10;246484;761820
16;1;533659;264596
16;2;459693;185164
16;3;253358;167510
16;4;306012;277952
16;5;272662;159687
16;6;312447;163696
16;7;249851;149208
16;8;1786554;241379
16;9;289252;205760
16;10;281193;184619
32;1;350049;216486
32;2;341694;346371
32;3;398838;1314064
32;4;355307;206198
32;5;2502730;304658
32;6;288778;160288
32;7;5963494;293825
32;8;303508;135399
32;9;282355;124354
32;10;376779;127604
64;1;557020;210342
64;2;362681;225182
64;3;366008;213419
64;4;366197;210817
64;5;1286762;218948
64;6;343779;190850
64;7;1064556;207260
64;8;376377;197817
64;9;317340;208025
64;10;309114;262880
128;1;1085173;411935
128;2;1332605;922390
128;3;808011;315713
128;4;589670;333587
128;5;628103;350519
128;6;509982;329238
128;7;459384;330232
128;8;421431;372788
128;9;519172;467935
128;10;3058884;1352357
256;1;711976;787843
256;2;5365548;586491
256;3;643235;531650
256;4;632092;556819
256;5;671240;515369
256;6;903520;515662
256;7;3000124;486467
256;8;664828;502891
256;9;665728;1258044
256;10;940383;29564201
512;1;4960910;928291
512;2;932590;1867497
512;3;1260932;895479
512;4;1290295;910792
512;5;922650;1100721
512;6;1007664;2049892
512;7;2155257;816248
512;8;969856;820426
512;9;984278;716379
512;10;1707662;850414
1024;1;2453831;1489477
1024;2;2852387;2104223
1024;3;1614071;1369268
1024;4;2116126;1522813
1024;5;1777004;1285494
1024;6;1704922;1252576
1024;7;1726627;1312407
1024;8;1528786;1285520
1024;9;1667854;1872873
1024;10;1621916;1343379
2048;1;2761368;13807828
2048;2;4147381;3754362
2048;3;2546415;1797801
2048;4;6088487;2134752
2048;5;33330122;5657932
2048;6;5147092;2295304
2048;7;6542249;3436827
2048;8;3156023;72737792
2048;9;4428856;4489352
2048;10;2937005;1866815
4096;1;4616751;4686248
4096;2;3375693;4702400
4096;3;3911943;4153027
4096;4;16302133;22096640
4096;5;10202336;4290066
4096;6;4531851;4371024
4096;7;4275957;3360269
4096;8;3415732;2561848
4096;9;5369736;2188736
4096;10;3247826;4346856
8192;1;16849953;16260344
8192;2;11158773;5172473
8192;3;7302225;42747518
8192;4;5384631;4886882
8192;5;5376227;7730662
8192;6;10851158;4805817
8192;7;5617223;7226670
8192;8;5676907;14503108
8192;9;10775039;7323842
8192;10;6497460;10992860
16384;1;13049942;100356819
16384;2;13428643;30676743
16384;3;11779482;14316177
16384;4;16653376;17465262
16384;5;11095852;19773440
16384;6;14560362;11483666
16384;7;13136755;19361272
16384;8;15569002;17376233
16384;9;11540655;10883191
16384;10;10931705;36119119
32768;1;30891184;115804264
32768;2;22995068;51463495
32768;3;30259826;77371528
32768;4;41637137;31824731
32768;5;29354049;35194605
32768;6;29026454;34285769
32768;7;26451123;48872167
32768;8;30691377;18127154
32768;9;38974188;21638269
32768;10;27940688;27429846
65536;1;46540937;58781819
65536;2;51519189;97521720
65536;3;37452547;41533435
65536;4;46388515;31721210
65536;5;32697108;32588310
65536;6;28337849;28422479
65536;7;24119041;63060817
65536;8;33201752;22893388
65536;9;30648502;24464874
65536;10;31925825;34080006
