Num Students;Repetitions;Initializer Time;Serialize Time;Deserialize Time;Serialized File Size
1;1;71376;1539843;247052;323
1;2;32301;1515879;3374427;323
1;3;43754;1498498;223375;323
1;4;40223;1988554;214686;323
1;5;32613;2819867;1203683;323
1;6;44306;3929819;177171;323
1;7;35098;1253450;314570;323
1;8;32208;1222108;154082;323
1;9;31179;1165026;165932;323
1;10;37855;1128980;159057;323
2;1;37914;1422226;178816;462
2;2;30803;1195627;263147;462
2;3;38754;2100234;197224;462
2;4;51864;1770806;181240;462
2;5;35229;1058058;3252803;462
2;6;37799;1352852;203012;462
2;7;29664;6507580;200931;462
2;8;32640;3915967;179126;462
2;9;34265;1348726;179821;462
2;10;30707;2108236;176903;462
4;1;36029;3843374;423944;740
4;2;30363;1336776;245248;740
4;3;33846;888886;396476;740
4;4;27827;842080;271911;740
4;5;27883;836191;209838;740
4;6;33761;2358704;2570342;740
4;7;30092;1299993;3483631;740
4;8;34127;928434;208299;740
4;9;31113;807283;154257;740
4;10;24662;763840;159051;740
8;1;26540;2673940;330209;1296
8;2;30608;1088085;243970;1296
8;3;36056;2051917;271924;1296
8;4;28285;839639;304739;1296
8;5;34000;853787;594910;1296
8;6;30079;2770665;1917204;1296
8;7;34340;3395534;1150691;1296
8;8;34769;954725;278424;1296
8;9;28025;812237;204365;1296
8;10;30649;812975;185897;1296
16;1;32161;909435;3218598;2415
16;2;24717650;15602833;6054552;2415
16;3;40197;982631;265301;2415
16;4;26060;4900456;259582;2415
16;5;27527;807429;351799;2415
16;6;32421;901050;269897;2415
16;7;27620;828256;263757;2415
16;8;28245;826002;238964;2415
16;9;32339;778486;4371829;2415
16;10;34509;1039112;248076;2415
32;1;28747;1046346;2577208;4655
32;2;33015;1028103;437564;4655
32;3;26934;14636220;566524;4655
32;4;72885;1490395;439326;4655
32;5;70984;2198913;837018;4655
32;6;30135;1007323;427600;4655
32;7;36863;890632;413041;4655
32;8;27904;826232;596954;4655
32;9;29609;875858;359797;4655
32;10;30051;847109;362130;4655
64;1;24726;1138159;595237;9135
64;2;25034;1303813;642433;9135
64;3;28302;1220258;611983;9135
64;4;25569;18874723;667052;9135
64;5;27297;1343894;560102;9135
64;6;28454;1112820;2162422;9135
64;7;28047;1176651;691112;9135
64;8;36360;1487763;653632;9135
64;9;26777;1048993;1466777;9135
64;10;68052;1036320;788117;9135
128;1;26897;2357040;1572896;17834
128;2;31165;2743486;3269813;17834
128;3;31908;1880820;1123163;17834
128;4;26577;1821722;1061857;17834
128;5;28452;4858344;1081078;17834
128;6;27195;1925738;1073910;17834
128;7;26589;2445946;1116457;17834
128;8;28915;1955898;1069017;17834
128;9;27300;1766948;1036829;17834
128;10;39587;4271151;1178650;17834
256;1;35819;3389390;2141331;34602
256;2;28856;3946792;2253602;34602
256;3;46277;3007043;2165233;34602
256;4;32094;2903721;2031278;34602
256;5;31307;2971572;2166471;34602
256;6;27374;3050131;2025677;34602
256;7;30695;2821464;2015419;34602
256;8;27443;2936110;2024106;34602
256;9;26889;2843682;3439614;34602
256;10;35263;4053777;2100685;34602
512;1;30588;4247831;4039121;68138
512;2;38422;3743888;4060456;68138
512;3;27503;3884332;4062823;68138
512;4;26768;8737392;3387813;68138
512;5;29057;5526462;4252183;68138
512;6;29988;3549894;2156352;68138
512;7;25039;4489688;1525496;68138
512;8;24918;2743248;1673209;68138
512;9;26362;3315190;1584252;68138
512;10;26854;2990794;1772301;68138
1024;1;26194;5529124;3009769;135510
1024;2;39939;12521607;2953268;135510
1024;3;30103;4754546;22341426;135510
1024;4;34348;8764635;2925674;135510
1024;5;177240;5371220;2574332;135510
1024;6;33691;4391388;2627326;135510
1024;7;98308;13286294;2706468;135510
1024;8;29097;4193671;2528660;135510
1024;9;33471;4790019;2311183;135510
1024;10;31873;4464384;2298644;135510
2048;1;27944;11562696;6458184;281942
2048;2;114363;10765251;4366505;281942
2048;3;29767;34439400;4455182;281942
2048;4;25339;7011994;3930891;281942
2048;5;29806;7531960;14228377;281942
2048;6;31616;11889295;4453714;281942
2048;7;35666;5935771;2442209;281942
2048;8;21140;9028630;2948567;281942
2048;9;27733;7294815;10609266;281942
2048;10;28329;6445626;2763371;281942
4096;1;27990;17274463;8584420;574806
4096;2;91473;12227418;4792525;574806
4096;3;22765;15359528;9370518;574806
4096;4;51341;15187412;10244460;574806
4096;5;30765;20607211;12749120;574806
4096;6;39821;21082711;13843490;574806
4096;7;62851;21315212;8778017;574806
4096;8;35597;19102476;11902625;574806
4096;9;35126;36497319;14007293;574806
4096;10;35162;36483335;8752959;574806
8192;1;37419;31704026;30943126;1160534
8192;2;36563;28885832;25291854;1160534
8192;3;70362;29242896;12953973;1160534
8192;4;36175;30156454;14935016;1160534
8192;5;39406;33680753;79582882;1160534
8192;6;40636;85830678;143944631;1160534
8192;7;44002;58502904;34761442;1160534
8192;8;29761;22497804;10677172;1160534
8192;9;28398;21118296;10323910;1160534
8192;10;27141;21894673;9890627;1160534
16384;1;27429;45932464;20878819;2338375
16384;2;48242;59911762;18282198;2338375
16384;3;50515;40896857;17878309;2338375
16384;4;27989;40069388;17527549;2338375
16384;5;25948;50512723;47620196;2338375
16384;6;42313;65410798;49649651;2338375
16384;7;152355;90204903;45617245;2338375
16384;8;28414;39336796;17154975;2338375
16384;9;26813;40239936;17734357;2338375
16384;10;28314;39219410;20705996;2338375
32768;1;42421;81190225;36722076;4697671
32768;2;27043;100364183;36119548;4697671
32768;3;34919;275779039;72615354;4697671
32768;4;32757;96618334;36767634;4697671
32768;5;34954;99668114;59743340;4697671
32768;6;45536;283010938;48335206;4697671
32768;7;37012;77900519;48383623;4697671
32768;8;46299;65464468;42351114;4697671
32768;9;33108;67867114;45158865;4697671
32768;10;29873;57361276;43466739;4697671
65536;1;32451;109277019;75277027;9416263
65536;2;31472;108773691;76085080;9416263
65536;3;85057;120480553;112712661;9416263
65536;4;47923;186510584;68469317;9416263
65536;5;34703;103081056;80431525;9416263
65536;6;40325;113808786;78823781;9416263
65536;7;32690;108330304;106449079;9416263
65536;8;71008;118724484;69958891;9416263
65536;9;33987;113805565;90743589;9416263
65536;10;58635;148954320;87669582;9416263
