Num Students;Repetitions;Initializer Time;Serialize Time;Deserialize Time;Serialized File Size
1;4;31961;791973;123627;323
1;5;19025;1337646;142491;323
1;6;20946;1450739;178779;323
1;7;35658;1015436;193198;323
1;8;32644;850756;116281;323
1;9;20364;883123;135674;323
1;10;21122;995527;160703;323
2;1;28958;1219457;302882;462
2;2;28948;1542260;220074;462
2;3;32998;1321949;199596;462
2;4;30770;1107797;231778;462
2;5;33980;3037857;194449;462
2;6;34372;1204669;2379871;462
2;7;32699;8193468;226398;462
2;8;36828;8937741;214916;462
2;9;32059;2185914;167856;462
2;10;65614;912878;150536;462
4;1;29154;892331;201367;740
4;2;27414;2574185;2009734;740
4;3;33336;1653196;245385;740
4;4;30276;879344;263127;740
4;5;25975;881723;226638;740
4;6;30833;872767;245586;740
4;7;27049;1095759;213390;740
4;8;30001;1191374;242446;740
4;9;37216;1047262;981648;740
4;10;28129;896251;208880;740
8;1;26646;1145896;360397;1296
8;2;26835;1084973;506576;1296
8;3;25327;595584;204392;1296
8;4;29533;1052103;2564886;1296
8;5;29093;2287996;348200;1296
8;6;26544;977853;261280;1296
8;7;24961;926925;285673;1296
8;8;23609;837236;271575;1296
8;9;20496;566905;219668;1296
8;10;30152;738583;201352;1296
16;1;20324;872566;468872;2415
16;2;29854;2342101;458649;2415
16;3;31399;934268;321498;2415
16;4;25625;892267;341769;2415
16;5;26296;880779;330722;2415
16;6;26421;910256;335523;2415
16;7;26779;1423777;347961;2415
16;8;27860;1838182;320273;2415
16;9;31223;2884868;323245;2415
16;10;33594;989092;358001;2415
32;1;31208;1078956;562727;4655
32;2;26408;23252386;577592;4655
32;3;46422;1095419;1943015;4655
32;4;25302;721068;7725651;4655
32;5;119641;3568812;35362259;4655
32;6;34781;1135969;394257;4655
32;7;38129;5557791;373372;4655
32;8;33603;946955;355399;4655
32;9;30085;934542;1016482;4655
32;10;98127;1216768;338349;4655
64;1;29379;1110780;605468;9135
64;2;24694;1228784;3786111;9135
64;3;28679;1184935;6075629;9135
64;4;33449;1432510;633203;9135
64;5;27549;14900297;1383602;9135
64;6;33854;1404322;582457;9135
64;7;55940;3555141;3388941;9135
64;8;47518;1136263;667377;9135
64;9;30863;1686664;2424841;9135
64;10;39196;4427480;1261848;9135
128;1;73973;2710966;1122019;17834
128;2;27820;1925832;1129315;17834
128;3;25711;2785232;3127576;17834
128;4;29341;2079358;2456725;17834
128;5;410071;1865105;1117039;17834
128;6;31026;2057296;8924508;17834
128;7;36190;2331339;1119156;17834
128;8;25656;4686109;3174201;17834
128;9;28339;4466976;1087098;17834
128;10;30287;2970093;1846927;17834
256;1;46867;6621649;2096626;34602
256;2;24427;5451137;2642235;34602
256;3;32190;8788075;2284856;34602
256;4;52676;5090580;4544526;34602
256;5;55711;4010210;10786252;34602
256;6;37479;4441232;3797292;34602
256;7;35878;6359087;3951350;34602
256;8;35544;3529908;2133527;34602
256;9;26840;2488713;3314575;34602
256;10;26357;2296805;2187097;34602
512;1;34477;3964187;4371561;68138
512;2;32368;3693724;13157860;68138
512;3;52624;5607958;4168074;68138
512;4;29738;14165506;2108673;68138
512;5;27279;3245974;1607473;68138
512;6;26076;4061433;1696236;68138
512;7;25324;2984255;1688691;68138
512;8;24692;2668593;1948333;68138
512;9;19779;2948226;1437982;68138
512;10;26250;11990183;1904643;68138
1024;1;26639;4532375;2842708;135510
1024;2;28881;6092813;3320446;135510
1024;3;26400;4782088;3080556;135510
1024;4;31855;4533439;2626272;135510
1024;5;27368;4351345;3165940;135510
1024;6;76160;4651372;1451209;135510
1024;7;20934;4598861;2645030;135510
1024;8;26261;6894499;2532706;135510
1024;9;27340;13037962;3141016;135510
1024;10;36639;18521325;2982488;135510
2048;1;35724;9303176;4808308;281942
2048;2;33516;22149123;10044324;281942
2048;3;33171;8841045;9498142;281942
2048;4;29547;7676857;5600664;281942
2048;5;29367;9555928;3759254;281942
2048;6;28604;8641955;4532298;281942
2048;7;34261;13123530;3947642;281942
2048;8;25340;9857404;5797474;281942
2048;9;312835;8009270;7156404;281942
2048;10;34718;7864504;5370650;281942
4096;1;25117;18714661;5338208;574806
4096;2;33491;15018580;6488913;574806
4096;3;33704;13331886;5430446;574806
4096;4;24891;16475517;4983608;574806
4096;5;31016;12770492;5144016;574806
4096;6;22353;11504158;12078381;574806
4096;7;35336;19309321;5078400;574806
4096;8;69670;21239503;10154108;574806
4096;9;53821;16588422;15318610;574806
4096;10;28882;13941405;7728004;574806
8192;1;35970;41757820;25201755;1160534
8192;2;431073;72909099;70042159;1160534
8192;3;53278;56077846;33165163;1160534
8192;4;39789;46305575;55042293;1160534
8192;5;38310;29196048;11356870;1160534
8192;6;26821;25630909;16415663;1160534
8192;7;68556;32807988;15260365;1160534
8192;8;28221;27750070;15668299;1160534
8192;9;27786;22829729;15861635;1160534
8192;10;109704;27363861;16645914;1160534
16384;1;38477;44610927;17777179;2338375
16384;2;25366;41047263;18206488;2338375
16384;3;25029;40896881;21115930;2338375
16384;4;45434;54588436;31432148;2338375
16384;5;37949;62468225;31660821;2338375
16384;6;34389;52771060;24932281;2338375
16384;7;40120;42247694;18680927;2338375
16384;8;33006;40219507;18175926;2338375
16384;9;26507;41157514;18760886;2338375
16384;10;26635;42382232;18924397;2338375
32768;1;27661;90013793;72592527;4697671
32768;2;27127;80154582;34675034;4697671
32768;3;27317;79112613;35652853;4697671
32768;4;25900;80863087;81645987;4697671
32768;5;34328;106904351;67763682;4697671
32768;6;45451;109768087;75453369;4697671
32768;7;44808;129004050;34940831;4697671
32768;8;27062;80377809;34741965;4697671
32768;9;24651;53977316;34394935;4697671
32768;10;26844;54859973;36507341;4697671
65536;1;41371;112813139;73428158;9416263
65536;2;32804;107335152;68992814;9416263
65536;3;27715;107717374;77796421;9416263
65536;4;29377;103757933;72140394;9416263
65536;5;38926;181228719;71182812;9416263
65536;6;34765;108064898;70348966;9416263
65536;7;30675;109846984;76780723;9416263
65536;8;37193;106083630;87353289;9416263
65536;9;27855;122826727;78731779;9416263
65536;10;32315;123405382;74284600;9416263
Num Students;Repetitions;Initializer Time;Serialize Time;Deserialize Time;Serialized File Size
1;1;82819027;39105260;9478053;323
1;2;55767;6440926;234438;323
1;3;35685;1596808;3488931;323
1;4;37378;1299199;134072;323
1;5;23035;1285661;246900;323
1;6;33702;1166430;166557;323
1;7;39987;1616331;175654;323
1;8;33624;1189544;229235;323
1;9;29906;1352263;133364;323
1;10;22881;770833;113060;323
2;1;18631;935631;205988;462
2;2;25665;1265308;733245;462
2;3;37355;1235131;209618;462
2;4;2278030;1211595;260919;462
2;5;40849;1183428;188548;462
2;6;31265;1099841;987805;462
2;7;31972;2041115;228116;462
2;8;39577;1102343;191781;462
2;9;30751;1171568;170761;462
2;10;29745;1046043;166686;462
4;1;30527;1207295;262487;740
4;2;37023;1211504;288532;740
4;3;39211;1154248;248511;740
4;4;31708;1087938;2503427;740
4;5;32995;1037099;237745;740
4;6;36702;979413;273063;740
4;7;28106;2187152;210983;740
4;8;26054;777333;188994;740
4;9;39850;1020195;234089;740
4;10;26626;821885;186569;740
8;1;24062;1033142;393804;1296
8;2;29354;3094768;311035;1296
8;3;37607;944792;307237;1296
8;4;32648;1038361;408349;1296
8;5;26377;2449958;302852;1296
8;6;27750;1107703;587268;1296
8;7;31717;975038;331519;1296
8;8;34707;869086;398507;1296
8;9;28626;743040;226135;1296
8;10;33606;2177259;241557;1296
16;1;30459;1097467;382063;2415
16;2;27146;894750;366180;2415
16;3;26666;7358589;366380;2415
16;4;31672;966215;364162;2415
16;5;1692681;871379;1061911;2415
16;6;31622;893866;326353;2415
16;7;31955;908510;286348;2415
16;8;26229;785808;271089;2415
16;9;25644;828528;267588;2415
16;10;27415;632044;1663229;2415
32;1;97443;1999022;6488193;4655
32;2;30345;7737227;448021;4655
32;3;32095;994748;463892;4655
32;4;30610;996624;4190773;4655
32;5;29515;3636316;450057;4655
32;6;28989;2598893;408895;4655
32;7;28353;982974;340920;4655
32;8;27650;789022;211922;4655
32;9;37464;920662;329198;4655
32;10;28165;4728884;405298;4655
64;1;48911;1976310;21614464;9135
64;2;27775;1160493;575113;9135
